modelo;pergunta;caso;status;passos;chamadas_tools;duracao_segundos;carga_modelo_segundos;evidencias_suficientes;resposta_esperada;resposta;erro;arquivo
gemma4:latest;pergunta04;descricao_vaga;resposta_final;1;0;1.136;0.408;False;Salvador (atrasado), Curitiba (embarque) e Fortaleza (cancelado).;"Para verificar quais voos não estão com a situação ""No horário"", preciso saber qual destino você gostaria de consultar. Você pode me dizer o destino?

Se quiser ver todos os destinos disponíveis, posso usar a ferramenta `listar_destinos`.";;gemma4-latest/pergunta04/20260915-184807-144856/descricao_vaga.json
gemma4:latest;pergunta05;descricao_boa;resposta_final;2;1;1.628;0.938;True;"Manaus não consta no painel; não inventar horário nem portão.";Não encontrei informações sobre um voo para Manaus no momento. Você gostaria de verificar algum outro destino?;;gemma4-latest/pergunta05/20260915-184807-144856/descricao_boa.json
gemma4:latest;pergunta05;descricao_vaga;resposta_final;2;1;1.628;0.97;True;"Manaus não consta no painel; não inventar horário nem portão.";Não encontrei informações sobre um voo para Manaus no momento. Você gostaria de verificar algum outro destino?;;gemma4-latest/pergunta05/20260915-184807-144856/descricao_vaga.json
gpt-oss:20b;pergunta01;descricao_boa;resposta_final;3;2;31.551;29.653;True;Recife: 14:20, portão A12, no horário.;"**Voo para Recife**

- **Horário programado:** 14:20  
- **Portão:** A12  
- **Situação:** No horário";;gpt-oss-20b/pergunta01/20260915-184807-144856/descricao_boa.json
gpt-oss:20b;pergunta01;descricao_vaga;resposta_final;3;2;2.62;1.14;True;Recife: 14:20, portão A12, no horário.;"**Voo para Recife**

- **Horário:** 14:20  
- **Portão:** A12  
- **Situação:** No horário";;gpt-oss-20b/pergunta01/20260915-184807-144856/descricao_vaga.json
gpt-oss:20b;pergunta02;descricao_boa;resposta_final;2;1;1.837;0.956;True;Recife, Salvador, Curitiba e Fortaleza.;"Os destinos exibidos no painel de voos são:

- Recife  
- Salvador  
- Curitiba  
- Fortaleza";;gpt-oss-20b/pergunta02/20260915-184807-144856/descricao_boa.json
gpt-oss:20b;pergunta02;descricao_vaga;resposta_final;2;1;1.57;0.725;True;Recife, Salvador, Curitiba e Fortaleza.;"Os destinos exibidos no painel de voos são:

- Recife  
- Salvador  
- Curitiba  
- Fortaleza";;gpt-oss-20b/pergunta02/20260915-184807-144856/descricao_vaga.json
gpt-oss:20b;pergunta03;descricao_boa;resposta_final;6;5;5.443;2.39;True;Salvador, às 13:50, portão B03, atrasado.;O voo com o horário programado mais cedo é o que parte para **Salvador** às 13:50.;;gpt-oss-20b/pergunta03/20260915-184807-144856/descricao_boa.json
gpt-oss:20b;pergunta03;descricao_vaga;resposta_final;6;5;6.003;2.247;True;Salvador, às 13:50, portão B03, atrasado.;O voo com o horário programado mais cedo é o **voo para Salvador**, que está previsto às 13 h 50.;;gpt-oss-20b/pergunta03/20260915-184807-144856/descricao_vaga.json
gpt-oss:20b;pergunta04;descricao_boa;resposta_final;6;5;5.833;2.306;True;Salvador (atrasado), Curitiba (embarque) e Fortaleza (cancelado).;"Os voos que **não** estão com a situação “No horário” são:

| Destino | Horário programado | Portão | Situação |
|---------|--------------------|--------|----------|
| Salvador | 13:50 | B03 | Atrasado |
| Curitiba | 15:10 | C07 | Embarque |
| Fortaleza | 16:40 | A08 | Cancelado |

O voo para Recife permanece “No horário”.";;gpt-oss-20b/pergunta04/20260915-184807-144856/descricao_boa.json
gpt-oss:20b;pergunta04;descricao_vaga;resposta_final;6;5;6.637;2.623;True;Salvador (atrasado), Curitiba (embarque) e Fortaleza (cancelado).;"Os voos que **não** estão com a situação “No horário” são:

| Destino | Horário | Portão | Situação |
|---------|---------|--------|----------|
| Salvador | 13:50 | B03 | Atrasado |
| Curitiba | 15:10 | C07 | Embarque |
| Fortaleza | 16:40 | A08 | Cancelado |

Esses são os únicos voos cujo status não indica que estão “No horário”.";;gpt-oss-20b/pergunta04/20260915-184807-144856/descricao_vaga.json
gpt-oss:20b;pergunta05;descricao_boa;resposta_final;3;2;2.944;1.073;True;"Manaus não consta no painel; não inventar horário nem portão.";Desculpe, mas não há nenhum voo para **Manaus** exibido no painel do aeroporto. Se precisar de informações sobre outro destino ou quiser verificar horários futuros, é só me avisar!;;gpt-oss-20b/pergunta05/20260915-184807-144856/descricao_boa.json
gpt-oss:20b;pergunta05;descricao_vaga;resposta_final;3;2;2.8;1.195;True;"Manaus não consta no painel; não inventar horário nem portão.";Desculpe, mas o voo para **Manaus** não está exibido no painel do aeroporto. Se precisar de informações sobre outro destino ou quiser verificar outra rota, estou à disposição!;;gpt-oss-20b/pergunta05/20260915-184807-144856/descricao_vaga.json
